business_name,category,type,address,city,state,zip,phone,website,approx_distance_direction_from_five_points,independent_or_chain,notes,status,source
Alberto's Tire Pros,Tire Shop,Tire,2500 Isleta Blvd SW,Albuquerque,NM,87105,(505) 873-4974,https://www.albertostirepros.com/,~1.3 mi S,Independent (Tire Pros affiliate),Also does general auto repair; established shop with 20+ reviews on Yelp,Open,Yelp/Cooper Tire/company site
Big O Tires - Belvedere,Tire Shop,Tire,240 Belvedere Ave SW,Albuquerque,NM,87105,(505) 633-8975,https://www.bigotires.com/location/nm/albuquerque/240-belvedere-ave-87105/031086,~0.8 mi S,Chain (Big O Tires),Also listed at nearby 3808 Isleta Blvd SW in some directories -- likely same store/cross-street,Open,Big O Tires site
Phil's Auto Service,Auto Repair,Mechanic,701 Isleta Blvd SW,Albuquerque,NM,87105,(505) 877-1833,,~1.5 mi NE,Independent,General mechanic near the Bridge Blvd river crossing,Open,YellowPages
Isleta Auto Repair,Auto Repair,Mechanic,2448 Isleta Blvd SW,Albuquerque,NM,87105,(505) 452-2370,,~1.3 mi S,Independent,Muffler/exhaust; electrical; alignment; towing,Open,Yelp
Blue Castle Automotive,Auto Repair,Mechanic,2321 Isleta Blvd SW,Albuquerque,NM,87105,(505) 452-0465,,~1.2 mi S,Independent,Full-service; domestic + most foreign; in business 20+ years,Open,Yelp/Nextdoor
E&A Mobile Mechanic,Mobile Mechanic,Mechanic,Mobile service (South Valley based),Albuquerque,NM,87105,(505) 414-7792,,Mobile - N/A,Independent,24/7 mobile mechanic; no fixed shop address,Open,Yelp
Los 2 Hermanos Tire Shop,Tire Shop,Tire,1821 Isleta Blvd SW,Albuquerque,NM,87105,(505) 877-4908,,~1.0 mi N,Independent,,Open,YellowPages
Vargas Auto Repair,Auto Repair,Mechanic,4321 Isleta Blvd SW (NM-47),Albuquerque,NM,87105,(505) 900-2840,,~2.5 mi S,Independent,EV/hybrid repair; brakes; headlight restoration; exhaust,Open,Yelp
"CH Tires (Tires; Wheels; Suspension & Auto Care)",Tire Shop,Both,210 Old Coors Dr SW,Albuquerque,NM,87105,(505) 554-2778,https://www.chtiresshop.com/,~1.5 mi SW,Independent,Tires + suspension + general auto care,Open,Company site
Old Coors Tire Shop,Tire Shop,Tire,217 Old Coors Dr SW,Albuquerque,NM,87121,Not confirmed,,~1.5 mi SW,Independent,Oil changes; tires; general auto repair,Open,Web search (unverified phone)
El Bravo Tire Shop,Tire Shop,Tire,1001 Old Coors Dr SW,Albuquerque,NM,87121,Not confirmed,,~1.8 mi SW,Independent,,Open,Facebook (unverified phone)
El General Tire Shop,Tire Shop,Tire,2957 Coors Blvd SW,Albuquerque,NM,87121,(505) 720-9171,,~2.0 mi SW,Independent,,Open,YellowPages
South Coors Tire Shop,Tire Shop,Tire,3309 Coors Blvd SW,Albuquerque,NM,87121,(505) 877-7569,,~2.3 mi SW,Independent,,Open,YellowPages
La Camelia Tire Shop,Tire Shop,Tire,2511 Coors Blvd SW,Albuquerque,NM,87121,(505) 873-3185,,~2.0 mi SW,Independent,New/used tires + wheels; brakes; alignment; suspension; Spanish-speaking; financing available,Open,Yelp/Facebook/SimpleTire
